file,width,height,visible_bbox
05_primary_buttons/btn_continue_disabled.png,512,112,"[90, 5, 423, 108]"
05_primary_buttons/btn_continue_normal.png,512,112,"[90, 5, 423, 108]"
05_primary_buttons/btn_continue_pressed.png,512,112,"[64, 7, 449, 106]"
05_primary_buttons/btn_continue_selected.png,512,112,"[64, 7, 449, 106]"
06_action_buttons/btn_leave_disabled.png,208,112,"[23, 5, 185, 108]"
06_action_buttons/btn_leave_normal.png,208,112,"[22, 4, 185, 108]"
06_action_buttons/btn_leave_pressed.png,208,112,"[13, 0, 195, 112]"
06_action_buttons/btn_leave_selected.png,208,112,"[13, 0, 195, 112]"
06_action_buttons/btn_rest_disabled.png,208,112,"[23, 5, 185, 108]"
06_action_buttons/btn_rest_normal.png,208,112,"[22, 4, 185, 108]"
06_action_buttons/btn_rest_pressed.png,208,112,"[13, 0, 195, 112]"
06_action_buttons/btn_rest_selected.png,208,112,"[13, 0, 195, 112]"
06_action_buttons/btn_search_disabled.png,208,112,"[23, 5, 185, 108]"
06_action_buttons/btn_search_normal.png,208,112,"[22, 4, 185, 108]"
06_action_buttons/btn_search_pressed.png,208,112,"[13, 0, 195, 112]"
06_action_buttons/btn_search_selected.png,208,112,"[13, 0, 195, 112]"
07_bottom_nav/nav_bar.png,684,146,"[3, 3, 682, 144]"
07_bottom_nav/nav_base_disabled.png,144,128,"[9, 3, 135, 125]"
07_bottom_nav/nav_base_normal.png,144,128,"[9, 3, 135, 125]"
07_bottom_nav/nav_base_pressed.png,144,128,"[0, 0, 144, 128]"
07_bottom_nav/nav_base_selected.png,144,128,"[0, 0, 144, 128]"
07_bottom_nav/nav_explore_disabled.png,144,128,"[9, 3, 135, 125]"
07_bottom_nav/nav_explore_normal.png,144,128,"[9, 3, 135, 125]"
07_bottom_nav/nav_explore_pressed.png,144,128,"[0, 0, 144, 128]"
07_bottom_nav/nav_explore_selected.png,144,128,"[0, 0, 144, 128]"
07_bottom_nav/nav_reincarnation_disabled.png,144,128,"[9, 3, 136, 126]"
07_bottom_nav/nav_reincarnation_normal.png,144,128,"[9, 2, 136, 126]"
07_bottom_nav/nav_reincarnation_pressed.png,144,128,"[0, 0, 144, 128]"
07_bottom_nav/nav_reincarnation_selected.png,144,128,"[0, 0, 144, 128]"
07_bottom_nav/nav_survival_disabled.png,144,128,"[8, 3, 136, 126]"
07_bottom_nav/nav_survival_normal.png,144,128,"[8, 3, 136, 126]"
07_bottom_nav/nav_survival_pressed.png,144,128,"[8, 3, 136, 126]"
07_bottom_nav/nav_survival_selected.png,144,128,"[8, 3, 136, 126]"
07_bottom_nav/nav_team_disabled.png,144,128,"[9, 3, 135, 125]"
07_bottom_nav/nav_team_normal.png,144,128,"[9, 3, 135, 125]"
07_bottom_nav/nav_team_pressed.png,144,128,"[0, 0, 144, 128]"
07_bottom_nav/nav_team_selected.png,144,128,"[0, 0, 144, 128]"
