file,status,reason
05_windows/window_full.png,REPLACED,原文件存在裁图残留/烘焙内容；改为完整空底 Window/Popup
05_windows/window_large.png,REPLACED,原文件存在裁图残留/烘焙内容；改为完整空底 Window/Popup
05_windows/window_medium.png,REPLACED,原文件存在裁图残留/烘焙内容；改为完整空底 Window/Popup
05_windows/window_title_bar.png,REPLACED,原文件存在裁图残留/烘焙内容；改为完整空底 Window/Popup
05_windows/popup_confirm.png,REPLACED,原文件存在裁图残留/烘焙内容；改为完整空底 Window/Popup
05_windows/popup_reward.png,REPLACED,原文件存在裁图残留/烘焙内容；改为完整空底 Window/Popup
05_windows/popup_story.png,REPLACED,原文件存在裁图残留/烘焙内容；改为完整空底 Window/Popup
05_windows/popup_boss_info.png,REPLACED,原文件存在裁图残留/烘焙内容；改为完整空底 Window/Popup
06_textboxes/textbox_multiline_disabled.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_multiline_focus.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_multiline_normal.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_numeric_focus.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_numeric_normal.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_search_focus.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_search_normal.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_single_disabled.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_single_focus.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_single_normal.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_title.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
06_textboxes/textbox_tooltip.png,REPLACED,原文件包含搜索图标/邻接残影或比例不统一；改为完整空文本框
07_panels/panel_base_facility.png,REPLACED,原文件保持源图长宽比导致面板缩成细条/比例错误；按目标尺寸重制
